model,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,roc_auc_weighted_ovr,high_precision,high_recall,high_f1,param_C,param_class_weight,param_solver,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators
random_forest,0.8809849521203831,0.8816253196438486,0.8809849521203831,0.8804567762043177,0.8808322071472051,0.9698764097415775,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,,log2,2.0,4.0,200.0
random_forest,0.8809849521203831,0.8816253196438486,0.8809849521203831,0.8804567762043177,0.8808322071472051,0.9697968948625247,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,20.0,sqrt,2.0,2.0,200.0
random_forest,0.8809849521203831,0.8816253196438486,0.8809849521203831,0.8804567762043177,0.8808322071472051,0.9697968948625247,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,20.0,sqrt,2.0,4.0,200.0
random_forest,0.8809849521203831,0.8816253196438486,0.8809849521203831,0.8804567762043177,0.8808322071472051,0.9697968948625247,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,20.0,log2,2.0,4.0,200.0
random_forest,0.8809849521203831,0.8816253196438486,0.8809849521203831,0.8804567762043177,0.8808322071472051,0.9697940801760634,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,20.0,log2,2.0,2.0,200.0
random_forest,0.8809849521203831,0.882137609853593,0.8809849521203831,0.8806052290853932,0.8808271235372437,0.9696711537792756,0.825,0.9065934065934066,0.8638743455497382,,balanced,,10.0,sqrt,1.0,4.0,200.0
random_forest,0.8809849521203831,0.882137609853593,0.8809849521203831,0.8806052290853932,0.8808271235372437,0.9696711537792756,0.825,0.9065934065934066,0.8638743455497382,,balanced,,10.0,log2,1.0,4.0,200.0
random_forest,0.8809849521203831,0.8808980617910364,0.8809849521203831,0.8808614002841757,0.8804055049235067,0.9707292774777265,0.875,0.8461538461538461,0.8603351955307262,,,,,sqrt,2.0,2.0,400.0
random_forest,0.8809849521203831,0.8808980617910364,0.8809849521203831,0.8808614002841757,0.8804055049235067,0.9707292774777265,0.875,0.8461538461538461,0.8603351955307262,,,,,sqrt,2.0,4.0,400.0
random_forest,0.8809849521203831,0.8808980617910364,0.8809849521203831,0.8808614002841757,0.8804055049235067,0.9707292774777265,0.875,0.8461538461538461,0.8603351955307262,,,,,log2,2.0,2.0,400.0
random_forest,0.8809849521203831,0.8808980617910364,0.8809849521203831,0.8808614002841757,0.8804055049235067,0.9707292774777265,0.875,0.8461538461538461,0.8603351955307262,,,,,log2,2.0,4.0,400.0
logistic_regression,0.8809849521203831,0.88056604625277,0.8809849521203831,0.8806547303795602,0.8802608519033553,0.9758736700833727,0.875,0.8461538461538461,0.8603351955307262,0.1,,lbfgs,,,,,
random_forest,0.8796169630642955,0.8804261345983995,0.8796169630642955,0.8791570418781087,0.8802280572895222,0.9705000624168653,0.8341708542713567,0.9120879120879121,0.8713910761154856,,balanced,,10.0,sqrt,1.0,8.0,400.0
random_forest,0.8796169630642955,0.8804261345983995,0.8796169630642955,0.8791570418781087,0.8802280572895222,0.9705000624168653,0.8341708542713567,0.9120879120879121,0.8713910761154856,,balanced,,10.0,log2,1.0,8.0,400.0
random_forest,0.8796169630642955,0.8799138288103012,0.8796169630642955,0.8791385371834797,0.8800523265133066,0.9697242696975633,0.841025641025641,0.9010989010989011,0.870026525198939,,balanced,,,sqrt,2.0,8.0,600.0
